figure	panel	title	module	analysis_script	plot_script	source_workflow	panel_type	status
Fig01	A	Molecular subtype distribution by stage	figures/Fig01	figures/Fig01/01_analysis.R	figures/Fig01/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
Fig01	B	Subtype-stratified disease-specific survival	figures/Fig01	figures/Fig01/01_analysis.R	figures/Fig01/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
Fig01	C	Immune and stromal scores within stage	figures/Fig01	figures/Fig01/01_analysis.R	figures/Fig01/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
Fig01	D	Single-cell UMAP of major lineages	figures/Fig01	figures/Fig01/01_analysis.R	figures/Fig01/02_plot.R	workflows/single_cell/01_process_scrna.R	standard_vector	implemented_v0.4
Fig01	E	Representative lineage-marker dot plot	figures/Fig01	figures/Fig01/01_analysis.R	figures/Fig01/02_plot.R	workflows/single_cell/01b_annotation_and_markers.R -> workflows/single_cell/08_marker_visualization.R	package_native	implemented_v0.4
Fig01	F	Relative enrichment of major cell types	figures/Fig01	figures/Fig01/01_analysis.R	figures/Fig01/02_plot.R	workflows/single_cell/09_roe_composition.R	standard_vector	implemented_v0.4
Fig02	A	cell2location major-cell-type maps	figures/Fig02	figures/Fig02/01_analysis.R	figures/Fig02/02_plot.R	workflows/spatial/cell2location/	standard_vector	implemented_v0.4
Fig02	B	Within-section cell-state correlations	figures/Fig02	figures/Fig02/01_analysis.R	figures/Fig02/02_plot.R	workflows/spatial/07_cellstate_correlation_colocalization.R	standard_vector	implemented_v0.4
Fig02	C	CK5/6, GATA3, FAP and SPP1 immunohistochemistry	figures/Fig02	figures/Fig02/01_analysis.R	figures/Fig02/02_plot.R	non-computational source panel; code not applicable	noncomputational	implemented_v0.4
Fig03	A	Myeloid UMAP	figures/Fig03	figures/Fig03/01_analysis.R	figures/Fig03/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R	standard_vector	implemented_v0.4
Fig03	B	Myeloid relative enrichment by tissue group	figures/Fig03	figures/Fig03/01_analysis.R	figures/Fig03/02_plot.R	workflows/single_cell/09_roe_composition.R	standard_vector	implemented_v0.4
Fig03	C	Monocyte-macrophage pseudotime	figures/Fig03	figures/Fig03/01_analysis.R	figures/Fig03/02_plot.R	workflows/single_cell/03_trajectory_analysis.R	standard_vector	implemented_v0.4
Fig03	D	CCR2 monocyte and SPP1 TAM spatial co-localization	figures/Fig03	figures/Fig03/01_analysis.R	figures/Fig03/02_plot.R	workflows/spatial/07_cellstate_correlation_colocalization.R	standard_vector	implemented_v0.4
Fig03	E	Spatial TAM M2 signature	figures/Fig03	figures/Fig03/01_analysis.R	figures/Fig03/02_plot.R	workflows/spatial/09_spacet_gene_set_scores.R	standard_vector	implemented_v0.4
Fig03	F	Neutrophil UMAP	figures/Fig03	figures/Fig03/01_analysis.R	figures/Fig03/02_plot.R	workflows/single_cell/01c_lineage_subclustering.R	standard_vector	implemented_v0.4
Fig03	G	VEGFA TAN and Cancer_c3 spatial co-localization	figures/Fig03	figures/Fig03/01_analysis.R	figures/Fig03/02_plot.R	workflows/spatial/07_cellstate_correlation_colocalization.R	standard_vector	implemented_v0.4
Fig03	H	Myeloid-state survival curves	figures/Fig03	figures/Fig03/01_analysis.R	figures/Fig03/02_plot.R	workflows/bulk_clinical_validation/00_prepare_bulk_scores.R -> workflows/bulk_clinical_validation/01_subtype_clinical_analysis.R	standard_vector	implemented_v0.4
Fig03	I	Neu_c2_VEGFA Hallmark enrichment	figures/Fig03	figures/Fig03/01_analysis.R	figures/Fig03/02_plot.R	workflows/single_cell/06_functional_enrichment.R	standard_vector	implemented_v0.4
